short_window,long_window,score
3,10,0.24133309967776262
3,15,-0.13360153862351545
3,20,0.1272865169519224
3,25,-0.05091410578573395
3,30,-0.6729193415065494
3,35,-0.16254628107225272
3,40,0.24009898334340338
3,45,0.4342038559300643
3,50,0.42160018847771336
3,55,0.5117427028219621
3,60,0.5124811837111426
4,10,-0.41248317659432476
4,15,-0.08859947311590201
4,20,-0.029181494001736807
4,25,0.1067676364601922
4,30,-0.501458130448055
4,35,-0.12585721685133905
4,40,0.19037784221438814
4,45,0.19201568388838008
4,50,0.4965905467795363
4,55,0.49396026052152003
4,60,0.5846706263660462
5,10,-0.47808280507274004
5,15,-0.10230097254381064
5,20,0.1797090206681865
5,25,0.2205479251799487
5,30,0.18164912293645727
5,35,0.011545247097421834
5,40,0.2833757198430054
5,45,0.4690308411033225
5,50,0.5385779821970104
5,55,0.5515864639036625
5,60,0.6717553778522235
6,10,-0.3018552979166146
6,15,0.09225571465649249
6,20,0.45008347302116225
6,25,0.3470526912143023
6,30,-0.1228892982365501
6,35,-0.12752323584560657
6,40,0.3115786782226737
6,45,0.3943761664620698
6,50,0.6836351803749121
6,55,0.6041327058285992
6,60,0.6289869717874252
7,10,-0.10482536716911849
7,15,0.28198430675788927
7,20,0.37726252348891337
7,25,0.21701274864213896
7,30,-0.08370671967988996
7,35,-0.025511606840936802
7,40,0.2680158259071028
7,45,0.380371337702667
7,50,0.7362000046732625
7,55,0.48142073136084
7,60,0.7143017754195443
8,10,0.21469174955726558
8,15,0.2747586502445804
8,20,0.2835940182480519
8,25,0.6535054170883805
8,30,-0.03842122953134404
8,35,-0.4169797009302066
8,40,0.3957767765649057
8,45,0.4702752134037487
8,50,0.8496385234730761
8,55,0.6677904722755795
8,60,0.7168289965884556
9,10,-0.49323136767472453
9,15,0.05219932912579502
9,20,0.1776791374620007
9,25,0.5033469828124087
9,30,-0.07920821457032035
9,35,-0.3572470029597512
9,40,0.3698372560627431
9,45,0.46096632223351897
9,50,0.8496385234730761
9,55,0.680798084072227
9,60,0.756907810610135
10,15,0.49046779076781816
10,20,-0.16644388373297525
10,25,-0.04127151997271771
10,30,-0.06917796092204999
10,35,-0.31709200770444707
10,40,0.20158032877862855
10,45,0.6758245037050297
10,50,0.8094674359749988
10,55,0.7595425499406347
10,60,0.9769298662459709
11,15,0.6505392591562132
11,20,0.06621474208544469
11,25,0.056405039091197665
11,30,-0.3022132022497987
11,35,-0.5144587494082218
11,40,0.22829478514977103
11,45,0.8754077614448743
11,50,0.7751126395624918
11,55,0.8033404490928231
11,60,0.9776415728310256
12,15,0.9504447772072676
12,20,-0.039163925194920034
12,25,-0.13632253476314737
12,30,-0.3078727001173993
12,35,-0.36684794400570286
12,40,0.16438077202616372
12,45,0.8064048033401383
12,50,0.7061060580580188
12,55,0.7538211433829959
12,60,0.7884344180434537
13,15,0.9388059970427706
13,20,-0.10227336538466453
13,25,-0.14728663256246288
13,30,-0.36664638536104444
13,35,-0.171965863841627
13,40,0.19618658984049372
13,45,0.6910980025582297
13,50,0.7538211433829959
13,55,0.7403908033271872
13,60,0.6137613793638719
14,15,0.5437354705920037
14,20,0.14580551456257312
14,25,-0.17656849940701744
14,30,-0.2420546332989784
14,35,-0.3439179624755996
14,40,0.3175926028346079
14,45,0.7884344180434537
14,50,0.6167556256059711
14,55,0.6002232833132859
14,60,0.6137613793638719
15,20,0.15044030354410798
15,25,-0.09720366651247778
15,30,-0.2151934936855864
15,35,-0.36989495613223333
15,40,0.4266103491976711
15,45,0.6167556256059711
15,50,0.6002232833132859
15,55,0.7539938318493064
15,60,0.832698862204107
16,20,0.06209333295298312
16,25,0.02383547041513635
16,30,-0.3924998528768208
16,35,-0.39854411217783386
16,40,0.38456278804383454
16,45,0.7730376845197603
16,50,0.7593137005591084
16,55,0.8273608957322732
16,60,0.8273608957322732
17,20,0.4362706628384851
17,25,0.05310821450763497
17,30,-0.39030941928585616
17,35,-0.25996486000053853
17,40,0.3676624356411984
17,45,0.7730376845197603
17,50,0.8273608957322732
17,55,0.9313747425212362
17,60,0.8891515175700218
18,20,-0.06747609440279419
18,25,0.08797090672994257
18,30,-0.4111485423459449
18,35,-0.36001783208052657
18,40,0.5048090736081974
18,45,0.8464738359391677
18,50,0.9776988529898851
18,55,0.8829854622766815
18,60,0.9844417530699423
19,20,0.014281754412523827
19,25,0.05140180052982412
19,30,-0.48602016996843256
19,35,-0.21758076384573083
19,40,0.7035965594677468
19,45,1.0330984435813153
19,50,1.000263325342544
19,55,0.9054992905947409
19,60,0.9502647414793147
20,25,-0.2196001203953009
20,30,-0.3579178013966069
20,35,-0.19594757709086194
20,40,0.5799358667633938
20,45,1.0134523855429338
20,50,0.9238950752628355
20,55,1.0531629411571748
20,60,1.035570418993202
